ID	Name	Sex	Original Treatment	Final Treatment	Day Post-Infection	Date	Number of IT-injected mosquitoes that fed	Number of IT-injected mosquitoes that fed and survived to assay	Number of mosquitoes with detectable DENV-2 in collected saliva	Number  IT-injected mosquitoes with saliva positive for DENV-2 after one passage of saliva in C6/36 cells	% IT-injected mosquitoes with saliva positive for DENV-2 after one passage of saliva in C6/36 cells	Estimated titer delivered	Corrected estimated titer delivered (log10)	PRNT50	PRNT80	PRNT90	Viremia (pfu/ml)	Viremia detected after 1 passage?	Viremia deduced	Number of mosquitoes that engorged	Number of mosquitoes that engorged AND survived to titer	Number of mosquitoes with detectable body infection	Number of mosquitoes with detectable leg infection	Number of mosquitoes with positive saliva without amplification	Number of mosquitoes with positive saliva after amplification	% mosquitoes infected (body)	% mosquitoes infected (legs)	% mosquitoes infected (body, legs, or saliva)	Mean titer of infected mosquitoes (bodies)	SE of mean titer of infected mosquitoes (bodies)	Mean titer of infected mosquitoes (legs)	SE of mean titer of infected mosquitoes (legs)	Weight (g)	WBC	LYM	MON	NEU	LYM%	MON%	NEU%	RBC	HGB	HCT	MCH	MCV	MCHC	RDWc	RDWs	PLT	MPV	PCT	PDWc	PDWs	PrVW	PrVR	PrVE	WBC Lyse	Lyse2	% NK cells	Number NK cells	TGFbeta	IL-1B	G-CSF	IL-10	IL-6	IL-12	RANTES	Eotaxin	IL-17	MIP-1a	GM-CSF	MIP-1B	MCP-1	IL-15	EGF	IL-5	HGF	VEGF	IFN-g	MDC	I-TAC	MIF	IL-RA	TNF-alpha	IL-2	IP-10	MIG	IL-4	IL-8
4516	Bunny	F	15 Mosquitos	15 Mosquitos	-7	2021-03-29								19	19	19																																											1.4	29	295.28	1.31	56.75	6.78	4.5	1129.93	24.58	21.38	15.66	75.26	3.22	323.5	1558.65	37.23	112.69	3.2	4591.62	0.48	842.94	147.6	40.9	489.66	27.75	2.01	21.89	26.99	11.8	19.49	5.83
5045	Neferet	F	15 Mosquitos	15 Mosquitos	-7	2021-03-29								19	19	19																																											2.6	152	81.05	1.69	56.75	6.78	4.65	211.74	4.34	1.19	15.66	52.62	9.02	47.78	224.14	38.02	1.65	3.2	398.94	0.48	112.68	147.6	67.41	176.24	27.75	2.26	21.89	8.78	11.8	19.49	5.83
4872	Molly	F	15 Mosquitos	15 Mosquitos	-7	2021-03-29								19	19	19																																											1.1	99	122.09	1.03	56.75	6.78	5.04	55.3	4.34	1.19	15.66	14.2	25.01	190.78	162.52	38.02	25.65	9.24	35.33	0.48	137.56	147.6	49.7	267.19	27.75	7.23	21.89	2.18	11.8	19.49	5.83
6401	Steve	M	15 Mosquitos	15 Mosquitos	-7	2021-03-29								19	19	19																																											3.1	77	1.45	3.81	56.75	6.78	3.85	55.3	4.34	1.19	15.66	14.2	5.24	69.68	10.06	38.02	1.65	3.48	35.33	0.48	7.72	196.43	72.04	697.97	27.75	5.96	21.89	2.18	129.72	19.49	5.83
6363	Matt	M	15 Mosquitos	15 Mosquitos	-7	2021-03-29								19	19	19																																											3.3	178	1.45	1.62	56.75	6.78	3.85	55.3	4.34	1.19	15.66	14.2	5.22	8.28	10.06	38.02	1.65	3.42	35.33	0.48	7.72	165.66	34.02	142.5	2.9	6.06	21.89	2.18	11.8	19.49	5.83
6552	Usher	M	15 Mosquitos	15 Mosquitos	-7	2021-03-29								19	19	19																																											2.7	732	1.45	3.12	10.08	6.78	3.85	55.3	4.34	1.19	15.66	14.2	5.1	25.5	10.06	38.02	1.65	3.54	35.33	0.48	7.72	94.68	28.38	313.5	15.16	5.64	21.89	2.18	11.8	19.49	5.83
6242	Kiki	F	15 Mosquitos	15 Mosquitos	-7	2021-03-29								19	19	19																																											2.1	84	1.45	135.26	85.06	13.64	4.64	55.3	4.34	0.2	15.66	25.53	8.5	33.49	10.06	178.76	1.65	6.3	35.33	0.48	3.63	147.6	23.64	295.25	27.75	7.23	21.89	5.24	11.8	11.71	7.32
5910	Alouette	F	15 Mosquitos	15 Mosquitos	-7	2021-03-29								19	19	19																																											4.4	226	1.45	7	101.18	10.58	3.73	55.3	34.96	1.19	15.66	14.2	8.5	17.78	10.06	38.02	1.65	5.76	35.33	0.48	5.03	147.6	16.02	214.65	27.75	7.23	21.89	0.8	11.8	19.49	5.83
6541	Vogle	M	Control	Control	-7	2021-03-29								19	19	19																																											5.3	256	1.45	6.07	56.75	6.78	4.44	55.3	6	1.19	15.66	14.2	8.5	16.29	10.06	38.02	1.65	3.2	35.33	0.48	7.72	147.6	36.12	63.84	27.75	7.23	21.89	2.18	11.8	19.49	5.83
6321	Rafael	M	Control	Control	-7	2021-03-29								19	19	19																																											2.8	367	2.58	2.4	53.85	6.72	3.85	55.3	29.48	1.19	15.66	4.41	10.01	55.5	10.06	38.02	1.79	3.79	35.33	0.48	7.72	328.73	50.1	206.85	16.23	6.67	21.89	2.18	11.8	19.49	5.83
6314	Casey Jones	M	15 Mosquitos	15 Mosquitos	0	2021-04-05	3	3	0	2	67	0	1.60205999132796				0	N	0														708																																																								
6519	Bethany	M	15 Mosquitos	15 Mosquitos	0	2021-04-05	4	4	1	4	100	39.92	1.99965242536608				0	N	0														830																																																								
4516	Bunny	F	15 Mosquitos	15 Mosquitos	0	2021-04-05	5	4	3	4	100	1556.88	3.19779864493273				0	N	0														627																																																								
5045	Neferet	F	15 Mosquitos	15 Mosquitos	0	2021-04-05	4	3	1	2	67	1836.33	3.26865518332655				0	N	0														659																																																								
4872	Molly	F	15 Mosquitos	15 Mosquitos	0	2021-04-05	3	3	1	3	100	39.92	1.90265547521793				0	N	0														618																																																								
6401	Steve	M	15 Mosquitos	15 Mosquitos	0	2021-04-05	4	4	1	2	50	39.92	1.77757180469141				0	N	0														698																																																								
6363	Matt	M	15 Mosquitos	15 Mosquitos	0	2021-04-05	5	5	0	2	40	0	1.60205999132796				0	N	0														881																																																								
6552	Usher	M	15 Mosquitos	15 Mosquitos	0	2021-04-05	4	4	2	3	75	199.6	2.34163233577805				0	N	0														812																																																								
6242	Kiki	F	15 Mosquitos	15 Mosquitos	0	2021-04-05	4	4	2	3	75	199.6	2.37948681371727				0	N	0														628																																																								
5910	Alouette	F	15 Mosquitos	15 Mosquitos	0	2021-04-05	6	5	4	5	100	199.6	2.34163233577805				0	N	0														657																																																								
6541	Vogle	M	Control	Control	0	2021-04-05	2	2	0	0	0						0	N	0														769																																																								
6321	Rafael	M	Control	Control	0	2021-04-05	4	4	0	0	0						0	N	0														859																																																								
6314	Casey Jones	M	15 Mosquitos	15 Mosquitos	1	2021-04-06											0	N	10	9	9	1	0			11	0	11	1.39794000867204	0	0	0	685																										3.5	166	1316.35	4.27	56.75	6.78	5.07	2804.11	26.93	51.27	81.95	385.45	8.66	4256.28	8697.96	5130.47	563.69	3.2	4525.86	0.48	7831.95	147.6	59.48	679.75	185.15	17.14	21.89	66.11	531.71	19.49	5.83
6519	Bethany	M	15 Mosquitos	15 Mosquitos	1	2021-04-06											0	N	0	11	8	0	0			0	0	0	0	0	0	0	825																										6.4	1520	178.85	2.66	56.75	1.88	5.27	1928.83	17.11	11.72	15.66	171.01	8.29	570.38	2581.31	621.65	42.69	3.2	4369.15	0.48	946.47	147.6	47.37	211.29	27.75	5.14	21.89	32.1	114.67	19.49	5.83
4516	Bunny	F	15 Mosquitos	15 Mosquitos	1	2021-04-06											20	Y	20	12	10	7	10			70	100	100	2.46566139	0.51232891	2.19504038028073	0.401467373433042	617																										1.5	36	171.61	1.41	56.75	6.78	4.96	859.14	31.67	13.59	15.66	40.45	4.06	206.34	1328.45	38.02	51.9	3.2	3860.45	0.48	477.43	147.6	46.79	206.18	27.75	1.92	21.89	25.12	11.8	19.49	5.83
5045	Neferet	F	15 Mosquitos	15 Mosquitos	1	2021-04-06											0	N	0	10	9	0	0			0	0	0	0	0	0	0	657																										2.9	167	60.86	1.27	56.75	6.78	5.04	72.49	4.34	1.19	15.66	289.09	6.33	34.08	33.93	104.95	1.65	3.2	534.93	0.48	74.97	147.6	47.37	125.17	27.75	2.09	21.89	6.35	11.8	19.49	5.83
4872	Molly	F	15 Mosquitos	15 Mosquitos	1	2021-04-06											0	N	0	13	11	0	0			0	0	0	0	0	0	0	635																										2	141	107.84	0.75	56.75	4.08	5.85	55.3	6.03	1.19	15.66	14.2	23.24	151.68	156.64	38.02	30.21	7.62	35.33	0.48	217.91	147.6	38.52	62.9	27.75	7.23	21.89	2.18	11.8	19.49	5.83
6401	Steve	M	15 Mosquitos	15 Mosquitos	1	2021-04-06													0																																																																						
6363	Matt	M	15 Mosquitos	15 Mosquitos	1	2021-04-06													0																																																																						
6552	Usher	M	15 Mosquitos	15 Mosquitos	1	2021-04-06													0																																																																						
6242	Kiki	F	15 Mosquitos	15 Mosquitos	1	2021-04-06													0																																																																						
5910	Alouette	F	15 Mosquitos	15 Mosquitos	1	2021-04-06													0																																																																						
6541	Vogle	M	Control	Control	1	2021-04-06											0	N	0	11	10												777																										6.4	382	1.45	0.85	56.75	6.78	4.98	55.3	15.42	1.19	15.66	14.2	3.06	99.6	10.06	38.02	3.54	3.2	35.33	0.48	7.72	147.6	47.94	215.52	27.75	7.23	21.89	2.18	11.8	19.49	5.83
6321	Rafael	M	Control	Control	1	2021-04-06													0																																																																						
6314	Casey Jones	M	15 Mosquitos	15 Mosquitos	2	2021-04-07													10																																																																						
6519	Bethany	M	15 Mosquitos	15 Mosquitos	2	2021-04-07													0																																																																						
4516	Bunny	F	15 Mosquitos	15 Mosquitos	2	2021-04-07													20																																																																						
5045	Neferet	F	15 Mosquitos	15 Mosquitos	2	2021-04-07													0																																																																						
4872	Molly	F	15 Mosquitos	15 Mosquitos	2	2021-04-07													0																																																																						
6401	Steve	M	15 Mosquitos	15 Mosquitos	2	2021-04-07											0	N	0	3	2	0	0			0	0	0	0	0	0	0	667																										5.4	196	1.45	3.71	56.75	6.78	3.85	55.3	4.34	1.19	15.66	14.2	7.1	41.08	10.06	38.02	1.65	3.79	35.33	0.48	7.72	147.6	39.66	225.08	27.75	6.31	21.89	2.18	11.8	19.49	5.83
6363	Matt	M	15 Mosquitos	15 Mosquitos	2	2021-04-07											20	Y	20	9	9	2	4			22	44	44	1.60874197	0.60874197	2.35629181568482	0.55502630890575	886																										7.5	562	1.45	2.16	14.82	6.78	3.85	55.3	4.34	1.19	15.66	14.2	5.4	36.18	10.06	38.02	1.65	3.66	35.33	0.48	7.72	225.3	48	197.76	3.66	6.42	21.89	2.18	11.8	19.49	5.83
6552	Usher	M	15 Mosquitos	15 Mosquitos	2	2021-04-07											0	N	10	5	5	0	2			0	40	40	0	0	1.05360498482393	0.451544993495972	810																										7	412	1.45	2.52	56.75	6.78	3.85	55.3	4.34	1.19	15.66	14.2	5.7	18.3	10.06	38.02	1.65	3.24	35.33	0.48	7.72	147.6	35.46	198.48	10.65	5.34	21.89	2.18	11.8	19.49	5.83
6242	Kiki	F	15 Mosquitos	15 Mosquitos	2	2021-04-07											0	N	0	15	12	0	0			0	0	0	0	0	0	0	637																										1.1	74	1.45	266.24	110.97	19.67	4.68	8.56	13.79	1.04	15.66	59.52	8.5	197.88	10.06	296.15	1.65	7.19	35.33	0.48	10.98	147.6	60.3	128.88	27.75	7.23	21.89	5.06	132.77	9.61	7.32
5910	Alouette	F	15 Mosquitos	15 Mosquitos	2	2021-04-07											0	N	0	12	12	0	0			0	0	0	0	0	0	0	686																										4.1	256	1.45	7.5	101.18	13.99	3.25	60.19	32.75	1.19	15.66	14.2	8.5	32.14	10.06	38.02	1.65	5.87	35.33	0.48	5.03	147.6	2.9	118.91	27.75	7.23	21.89	3.23	11.8	0.04	5.83
6541	Vogle	M	Control	Control	2	2021-04-07													0																																																																						
6321	Rafael	M	Control	Control	2	2021-04-07											0	N	0	8	5												845																										3.8	309	1.45	4.98	19.16	3.01	3.85	55.3	34.49	1.19	15.66	15.53	9.35	94.84	10.06	38.02	1.65	3.59	35.33	0.48	7.72	147.6	56.31	231.92	27.75	6.78	21.89	2.18	11.8	19.49	5.83
6314	Casey Jones	M	15 Mosquitos	15 Mosquitos	3	2021-04-08											0	N	10	14	13	1	1	0/13	0/13	8	8	8	4.97772361	0	2.74036268949424	0	734																												1293.21	3.53	56.75	6.78	5.19	2751.52	30.13	45.4	75.56	332.99	8.11	4328.96	8313.81	4927.67	545.43	3.2	4763.6	0.48	7603.72	147.6	59.48	842.66	125.92	14.55	21.89	64.39	500.37	19.49	5.83
6519	Bethany	M	15 Mosquitos	15 Mosquitos	3	2021-04-08											0	N	0	13	13	0	0	0/13	0/13	0	0	0	0	0	0	0	824																												171.61	2.51	56.75	0.97	5.34	1728.14	22.83	13.38	15.66	157.92	8.29	514.06	2407.23	523.69	32.97	3.2	4236.56	0.48	1032.73	147.6	58.91	229.99	27.75	4.11	21.89	29.5	112.05	19.49	5.83
4516	Bunny	F	15 Mosquitos	15 Mosquitos	3	2021-04-08											20	Y	20	7	7	0	0	0/7	0/7	0	0	0	0	0	0	0	607																												150.97	1.08	56.75	6.78	4.96	641.13	29.66	10.22	15.66	14.2	4.06	153.1	1038.73	38.02	53.06	3.2	2732.77	0.48	337.93	147.6	62.89	289.08	27.75	1.59	21.89	19.88	11.8	19.49	5.83
5045	Neferet	F	15 Mosquitos	15 Mosquitos	3	2021-04-08											0	N	0	11	10	0	0	0/10	0/10	0	0	0	0	0	0	0	663																												30.02	1.74	56.75	6.78	4.69	31.73	4.34	1.19	15.66	255.52	6.15	16.29	46.52	29.29	1.65	3.2	433.48	0.48	63.25	147.6	54.33	91.68	27.75	1.59	21.89	2.76	11.8	19.49	5.83
4872	Molly	F	15 Mosquitos	15 Mosquitos	3	2021-04-08											600	Y	600	14	14	0	0	0/14	0/14	0	0	0	0	0	0	0	614																												105.62	1.31	56.75	2.01	5.15	55.3	19.11	1.19	15.66	14.2	26.39	176	123.17	38.02	26.87	9.93	35.33	0.48	250.66	147.6	43.26	109.38	27.75	7.23	21.89	2.18	11.8	19.49	5.83
6401	Steve	M	15 Mosquitos	15 Mosquitos	3	2021-04-08													0																																																																						
6363	Matt	M	15 Mosquitos	15 Mosquitos	3	2021-04-08													110																																																																						
6552	Usher	M	15 Mosquitos	15 Mosquitos	3	2021-04-08													0																																																																						
6242	Kiki	F	15 Mosquitos	15 Mosquitos	3	2021-04-08													0																																																																						
5910	Alouette	F	15 Mosquitos	15 Mosquitos	3	2021-04-08													0																																																																						
6541	Vogle	M	Control	Control	3	2021-04-08											0	N	0	14	13												788																												1.45	0.48	56.75	6.78	4.86	1.97	15	1.19	15.66	14.2	0.48	135.54	10.06	38.02	1.65	3.2	35.33	0.48	7.72	147.6	42.06	277.32	27.75	7.23	21.89	2.18	11.8	19.49	5.83
6321	Rafael	M	Control	Control	3	2021-04-08													0																																																																						
6314	Casey Jones	M	15 Mosquitos	15 Mosquitos	4	2021-04-09													10																																																																						
6519	Bethany	M	15 Mosquitos	15 Mosquitos	4	2021-04-09													0																																																																						
4516	Bunny	F	15 Mosquitos	15 Mosquitos	4	2021-04-09													15																																																																						
5045	Neferet	F	15 Mosquitos	15 Mosquitos	4	2021-04-09													0																																																																						
4872	Molly	F	15 Mosquitos	15 Mosquitos	4	2021-04-09													305																																																																						
6401	Steve	M	15 Mosquitos	15 Mosquitos	4	2021-04-09											0	N	0	7	6	0	0	0/6	0/6	0	0	0	0	0	0	0	675																												1.45	3.26	21.24	6.78	3.85	55.3	4.34	1.19	15.66	14.2	8.06	35.39	10.06	38.02	1.65	3.4	35.33	0.48	7.72	252.75	46.63	76.34	27.75	5.49	21.89	2.18	11.8	19.49	5.83
6363	Matt	M	15 Mosquitos	15 Mosquitos	4	2021-04-09											200	Y	200	10	4	0	0	0/4	0/4	0	0	0	0	0	0	0	866																												1.45	1.44	32.94	6.78	3.85	55.3	4.34	1.19	15.66	14.2	4.2	17.04	10.06	38.02	1.65	3.24	35.33	0.48	7.72	252.72	32.64	97.32	27.75	6.24	21.89	2.18	11.8	19.49	5.83
6552	Usher	M	15 Mosquitos	15 Mosquitos	4	2021-04-09											0	N	0	8	6	0	0	0/6	0/6	0	0	0	0	0	0	0	771																												1.45	2.4	56.75	6.78	3.85	55.3	4.34	1.19	15.66	14.2	4.62	26.34	10.06	38.02	1.65	3.3	35.33	0.48	7.72	147.6	35.46	91.32	4.02	5.52	21.89	2.18	11.8	19.49	5.83
6242	Kiki	F	15 Mosquitos	15 Mosquitos	4	2021-04-09											0	N	0	13	7	0	0	0/7	0/7	0	0	0	0	0	0	0	660																												1.45	312.62	97.68	19.09	4.32	55.3	4.34	1.19	15.66	52.73	8.5	100.74	10.06	247.55	1.65	6.19	35.33	0.48	3.9	147.6	21.69	663.84	27.75	7.23	21.89	3.83	95.86	9.74	6.07
5910	Alouette	F	15 Mosquitos	15 Mosquitos	4	2021-04-09											0	N	0	14	8	0	0	0/8	0/8	0	0	0	0	0	0	0	710																												1.45	6.05	96.28	9	3.91	55.3	19.55	1.19	15.66	14.2	8.5	26.71	10.06	38.02	1.65	5.76	35.33	0.48	2.8	147.6	27.48	83.88	27.75	7.23	21.89	2.05	83.01	5.23	5.83
6541	Vogle	M	Control	Control	4	2021-04-09													0																																																																						
6321	Rafael	M	Control	Control	4	2021-04-09											0	N	0	11	10												837																												1.45	2.7	75.99	3.8	3.85	26.05	34.37	1.19	15.66	28.66	11.33	71.24	60.4	38.02	1.65	4.35	35.33	0.48	7.72	147.6	51.48	137.21	2.12	8.21	21.89	3.23	11.8	19.49	5.83
6314	Casey Jones	M	15 Mosquitos	15 Mosquitos	5	2021-04-10											0	N	10	11	10	0	0			0	0	0	0	0	0	0	720																												1290.08	2.66	56.75	6.78	4.92	2759.03	27.26	44.62	88.26	339.88	7.57	4177.34	7787.1	4746.46	542.37	3.2	4145.07	0.48	7528.42	147.6	70.22	648.56	136.99	13.92	21.89	60.11	501.64	19.49	5.83
6519	Bethany	M	15 Mosquitos	15 Mosquitos	5	2021-04-10											0	N	0	12	10	0	0			0	0	0	0	0	0	0	836																												127.84	1.41	56.75	6.78	4.65	976.01	19.88	4.01	15.66	92.18	4.41	380.26	1826.12	252.92	35.21	3.2	2222.16	0.48	587.42	147.6	46.79	71.97	27.75	2.42	21.89	18.07	15.05	19.49	5.83
4516	Bunny	F	15 Mosquitos	15 Mosquitos	5	2021-04-10											0	N	10	8	8	1	0			13	0	13	1.60205999	0	0	0	601																												114.04	1.31	56.75	6.78	4.73	468.05	21.01	9.34	15.66	14.2	5.1	105.52	794.97	38.02	37.83	3.2	2394.04	0.48	277.68	147.6	49.12	144.32	27.75	1.59	21.89	18.07	11.8	19.49	5.83
5045	Neferet	F	15 Mosquitos	15 Mosquitos	5	2021-04-10											0	N	0	14	13	0	0			0	0	0	0	0	0	0	665																												62.22	1.69	56.75	6.78	5.04	106.93	4.34	1.19	15.66	236.31	8.47	11.74	65.78	38.02	1.65	3.2	398.94	0.48	45.51	147.6	54.33	250.31	27.75	1.59	21.89	6.15	11.8	19.49	5.83
4872	Molly	F	15 Mosquitos	15 Mosquitos	5	2021-04-10											0	N	10	8	8	0	0			0	0	0	0	0	0	0	610																												110.03	1.03	56.75	6.78	5.38	55.3	24.58	1.19	15.66	14.2	20.9	146.96	126.3	38.02	29.86	7.47	35.33	0.48	229.15	147.6	37.33	66.54	27.75	7.23	21.89	2.18	11.8	19.49	5.83
6401	Steve	M	15 Mosquitos	15 Mosquitos	5	2021-04-10													0																																																																						
6363	Matt	M	15 Mosquitos	15 Mosquitos	5	2021-04-10													152.5																																																																						
6552	Usher	M	15 Mosquitos	15 Mosquitos	5	2021-04-10													0																																																																						
6242	Kiki	F	15 Mosquitos	15 Mosquitos	5	2021-04-10													0																																																																						
5910	Alouette	F	15 Mosquitos	15 Mosquitos	5	2021-04-10													0																																																																						
6541	Vogle	M	Control	Control	5	2021-04-10											0	N	0	12	10												782																												1.45	6.07	56.75	6.78	4.8	55.3	28.26	1.19	15.66	14.2	1.44	16.29	10.06	38.02	5.46	3.2	35.33	0.48	7.72	147.6	45.6	130.38	27.75	7.23	21.89	2.18	11.8	19.49	5.83
6321	Rafael	M	Control	Control	5	2021-04-10													0																																																																						
6314	Casey Jones	M	15 Mosquitos	15 Mosquitos	6	2021-04-11													10																																																																						
6519	Bethany	M	15 Mosquitos	15 Mosquitos	6	2021-04-11													0																																																																						
4516	Bunny	F	15 Mosquitos	15 Mosquitos	6	2021-04-11													25																																																																						
5045	Neferet	F	15 Mosquitos	15 Mosquitos	6	2021-04-11													0																																																																						
4872	Molly	F	15 Mosquitos	15 Mosquitos	6	2021-04-11													10																																																																						
6401	Steve	M	15 Mosquitos	15 Mosquitos	6	2021-04-11													0																																																																						
6363	Matt	M	15 Mosquitos	15 Mosquitos	6	2021-04-11													105																																																																						
6552	Usher	M	15 Mosquitos	15 Mosquitos	6	2021-04-11													0																																																																						
6242	Kiki	F	15 Mosquitos	15 Mosquitos	6	2021-04-11													0																																																																						
5910	Alouette	F	15 Mosquitos	15 Mosquitos	6	2021-04-11													0																																																																						
6541	Vogle	M	Control	Control	6	2021-04-11													0																																																																						
6321	Rafael	M	Control	Control	6	2021-04-11													0																																																																						
6314	Casey Jones	M	15 Mosquitos	15 Mosquitos	7	2021-04-12											0	N	10	11	8	0	3			0	38	38	0	0	2.10034333188799	1.07106596653017	739																										4.7	237	1274.31	3.04	56.75	6.78	5.07	2954.5	29.82	42.01	70.32	333.86	9.38	3878.23	7737.35	4588.84	544.41	3.2	3919.28	0.48	7273.35	147.6	62.89	637.89	137.77	13.03	21.89	53.24	427.89	19.49	5.83
6519	Bethany	M	15 Mosquitos	15 Mosquitos	7	2021-04-12											0	N	0	10	10	0	0			0	0	0	0	0	0	0	848																										4.7	321	113.12	1.17	56.75	6.78	4.65	604.97	20.45	1.19	15.66	16.58	4.24	266.08	1539	38.02	16.35	3.2	1445.96	0.48	489.29	147.6	52.02	104.09	27.75	0.86	21.89	12.44	11.8	19.49	5.83
4516	Bunny	F	15 Mosquitos	15 Mosquitos	7	2021-04-12											40	Y	40	4	4	0	0			0	0	0	0	0	0	0	586																										1.4	457	93.67	0.75	56.75	6.78	4.73	425.01	14.98	3.45	15.66	14.2	1.9	90.65	694.12	38.02	28.91	3.2	1722.6	0.48	193.46	147.6	114.37	673.18	27.75	1.1	21.89	13.88	11.8	19.49	5.83
5045	Neferet	F	15 Mosquitos	15 Mosquitos	7	2021-04-12											0	N	0	6	3	0	0			0	0	0	0	0	0	0	656																										2.8	222	66.6	0.89	56.75	6.78	4.81	190.64	4.34	1.19	15.66	190.59	5.8	18.5	156.64	38.02	1.65	3.2	467.63	0.48	108.84	147.6	58.34	64.72	27.75	1.84	21.89	6.15	11.8	19.49	5.83
4872	Molly	F	15 Mosquitos	15 Mosquitos	7	2021-04-12											0	N	10	12	10	0	0			0	0	0	0	0	0	0	610																										2.8	116	89.46	6.07	56.75	6.78	5.1	55.3	21.9	1.19	15.66	14.2	21.9	117.72	24.84	38.02	26.64	1.4	35.33	0.48	265.56	147.6	40.32	114.66	27.75	7.23	21.89	2.18	11.8	19.49	5.83
6401	Steve	M	15 Mosquitos	15 Mosquitos	7	2021-04-12													0																																																																						
6363	Matt	M	15 Mosquitos	15 Mosquitos	7	2021-04-12													57.5																																																																						
6552	Usher	M	15 Mosquitos	15 Mosquitos	7	2021-04-12													0																																																																						
6242	Kiki	F	15 Mosquitos	15 Mosquitos	7	2021-04-12													0																																																																						
5910	Alouette	F	15 Mosquitos	15 Mosquitos	7	2021-04-12													0																																																																						
6541	Vogle	M	Control	Control	7	2021-04-12											0	N	0	15	14												770																										10.9	316	1.45	6.07	56.75	6.78	4.74	55.3	27.6	1.19	15.66	14.2	3.36	16.68	10.06	38.02	1.65	3.2	35.33	0.48	7.72	147.6	44.46	143.46	27.75	7.23	21.89	2.18	11.8	19.49	5.83
6321	Rafael	M	Control	Control	7	2021-04-12													0																																																																						
6314	Casey Jones	M	15 Mosquitos	15 Mosquitos	8	2021-04-13													0																																																																						
6519	Bethany	M	15 Mosquitos	15 Mosquitos	8	2021-04-13													0																																																																						
4516	Bunny	F	15 Mosquitos	15 Mosquitos	8	2021-04-13													45.71																																																																						
5045	Neferet	F	15 Mosquitos	15 Mosquitos	8	2021-04-13													0																																																																						
4872	Molly	F	15 Mosquitos	15 Mosquitos	8	2021-04-13													10																																																																						
